tweet_id,timestamp,text,rating_numerator,rating_denominator,name,doggo,floofer,pupper,puppo,year,month,day,rating,jpg_url,favorite_count,retweet_count,followers_count,friends_count,source,retweeted_status,url
892420643555336193,2017-08-01 16:23:56,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,13.0,10.0,Phineas,None,None,None,None,2017,8,1,13.0,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,35743.0,7561.0,8849319.0,17.0,Twitter for iPhone,Original tweet,https://t.co/MgUWQ76dJU
892177421306343426,2017-08-01 00:17:27,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13.0,10.0,Tilly,None,None,None,None,2017,8,1,13.0,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,30886.0,5601.0,8849319.0,17.0,Twitter for iPhone,Original tweet,https://t.co/aQFSeaCu9L
891815181378084864,2017-07-31 00:18:03,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12.0,10.0,Archie,None,None,None,None,2017,7,31,12.0,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,23229.0,3712.0,8849319.0,17.0,Twitter for iPhone,Original tweet,https://t.co/r0YlrsGCgy
891689557279858688,2017-07-30 15:58:51,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,13.0,10.0,Darla,None,None,None,None,2017,7,30,13.0,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,39042.0,7744.0,8849319.0,17.0,Twitter for iPhone,Original tweet,https://t.co/tD36da7qLQ
891327558926688256,2017-07-29 16:00:24,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12.0,10.0,Franklin,None,None,None,None,2017,7,29,12.0,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,37295.0,8340.0,8849319.0,17.0,Twitter for iPhone,Original tweet,https://t.co/0g0KMIVXZ3
891087950875897856,2017-07-29 00:08:17,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,13.0,10.0,,None,None,None,None,2017,7,29,13.0,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,18803.0,2799.0,8849319.0,17.0,Twitter for iPhone,Original tweet,https://t.co/xx5cilW0Dd
890971913173991426,2017-07-28 16:27:12,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13.0,10.0,Jax,None,None,None,None,2017,7,28,13.0,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,10927.0,1818.0,8849319.0,17.0,Twitter for iPhone,Original tweet,https://t.co/MV01Q820LT
890729181411237888,2017-07-28 00:22:40,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,13.0,10.0,,None,None,None,None,2017,7,28,13.0,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,60240.0,16913.0,8849319.0,17.0,Twitter for iPhone,Original tweet,https://t.co/hrcFOGi12V
890609185150312448,2017-07-27 16:25:51,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13.0,10.0,Zoey,None,None,None,None,2017,7,27,13.0,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,25863.0,3850.0,8849319.0,17.0,Twitter for iPhone,Original tweet,https://t.co/UkrdQyoYxV
890240255349198849,2017-07-26 15:59:51,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14.0,10.0,Cassie,doggo,None,None,None,2017,7,26,14.0,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,29534.0,6579.0,8849319.0,17.0,Twitter for iPhone,Original tweet,https://t.co/l3TSS3o2M0
